ENGLISH,BANGLA
language,ভাষা
among,মধ্যে
ball,বল
yet,এখনো
wave,তরঙ্গ
drop,ড্রপ
heart,হৃদয়
present,উপস্থিত
heavy,ভারী
dance,নাচ
engine,ইঞ্জিন
position,অবস্থান
arm,বাহু
wide,প্রশস্ত
sail,পাল
material,উপাদান
size,আকার
vary,বিভিন্ন
settle,নিষ্পত্তি
speak,কথা বলুন
weight,ওজন
general,সাধারণ
ice,বরফ
matter,বিষয়
circle,বৃত্ত
pair,জুটি
include,অন্তর্ভুক্ত
divide,বিভক্ত করা
syllable,সিলেবল
felt,অনুভূত
perhaps,সম্ভবত
pick,বাছাই
sudden,হঠাৎ
count,গণনা
square,বর্গক্ষেত্র
reason,কারণ
length,দৈর্ঘ্য
represent,চিত্রিত করা
art,শিল্প
subject,বিষয়
region,অঞ্চল
energy,শক্তি
hunt,খোজা
probable,সম্ভাব্য
bed,বিছানা
brother,ভাই
egg,ডিম
ride,যাত্রা
cell,সেল
believe,বিশ্বাস করুন
forest,বন। জংগল
sit,বসা
race,রেস
window,জানলা
store,স্টোর
train,ট্রেন
prove,প্রমাণ করুন
leg,পা
exercise,অনুশীলন
wall,প্রাচীর
catch,ধরা
mount,মাউন্ট
wish,শুভেচ্ছা
sky,আকাশ
board,বোর্ড
joy,আনন্দ
winter,শীত
sat,শনি
written,লিখিত
wild,বন্য
kept,রাখা
glass,গ্লাস
grass,ঘাস
cow,গাভী
sign,চিহ্ন
visit,দেখুন
past,অতীত
soft,নরম
fun,মজা
bright,উজ্জ্বল
gas,গ্যাস
weather,আবহাওয়া
month,মাস
million,মিলিয়ন
bear,ভাল্লুক
finish,সমাপ্তি
happy,সুখী
hope,আশা করি
flower,ফুল
clothe,কাপড়
strange,অদ্ভুত
gone,সর্বস্বান্ত
jump,লাফ
baby,বাবু
eight,আট
meet,সম্মেলন
root,মূল
buy,কেনা
raise,উত্থাপন
solve,সমাধান
metal,ধাতু
whether,কিনা
push,ধাক্কা
seven,সাত
paragraph,অনুচ্ছেদ
third,তৃতীয়
shall,হবে
hair,চুল
describe,বর্ণনা
